index,id,title,cluster,distance,category
0,bb46e276e4591316ddc3b96ce9ed0b5eed51be37,Hurricane Irma: What Southwest Florida renters need to know,"said, s, 's",0.984788719,
1,0a6141aa4d0f400cb7b7ca2d5e0be995382197cc,A hurricane sends Kenny Chesney on a new musical mission,"said, s, 's",0.381637181,
2,0a04004d690bdbe2aac4247298875a250d0f1dce,Florida Caribbean Beaches Rebound,"said, s, 's",1.697434317,
3,8cb422fb9c5956a2cbf0b01383dce5fed59aa57e,Hurricane disaster relief should be data driven | TheHill,"said, s, 's",0.933772471,
1662,03a03f8b1a59ceef726a3b0fc2da55563fc8b4a4,$1.4 billion approved for West Shore Lake Pontchartrain hurricane levee Comite diversion | NOLA.com,"flooding, insurance, water",1.397756237,Irrelevant
5,52a87b032780b22fb415ee621d4324809aa52b41,Travel deals: Reopening sale at two St. Maarten resorts hit by Hurricane Irma - The Washington Post,"said, s, 's",1.520780154,
6,2844d70e3019c9f9c3737a74c03b3d7e8b29cb4c,Companies Preparing Superfund Sites for Next Major Hurricane | Bloomberg Environment,"said, s, 's",0.788411182,
7,8328bf41940ad4e5cd7f9aa4b8eab3e10cffa59a,How to improve critical hurricane-related supply chains,"said, s, 's",1.347265215,
8,bd4f0855f6856fb8124cc071751f119c22e431e2,Matthew recovery: Two years later victims still await money - News - The Fayetteville Observer - Fayetteville NC,"said, s, 's",0.32989778,
9,418d183916491c48d6faa070c5ecf8e20bec10e6,LETTER: The $100B hurricane and a fool’s errand - Opinion - The Courier-Tribune - Asheboro NC,"said, s, 's",1.688848252,
10,307ed12eedc36100f86ff560d5cbf43a6e07b796,Forecast: Lighter hurricane season expected | Local News | valdostadailytimes.com,"said, s, 's",0.916862377,
11,a48c861314a6dc8199008504757cb68beafc58f0,Al Hurricane Jr. concert expected to draw close to 1500 people to Washington Park | News | rawlinstimes.com,"said, s, 's",1.362180878,
12,ea96a5f32e18edcf42421ee5329b8cb1d373ca0b,Al Hurricane Jr. set to rock second performance tonight this time at Mike’s Big City Bar & Grill | News | rawlinstimes.com,"said, s, 's",1.386819047,
3780,d1226545f50b25b7f75ba9e4b33fb30ac6d7ab61,2 adults child rescued after school bus gets stuck in flood water | WBFF,"flooding, insurance, water",2.844523498,Irrelevant
