index,id,title,cluster,distance,category
0,52a87b032780b22fb415ee621d4324809aa52b41,Travel deals: Reopening sale at two St. Maarten resorts hit by Hurricane Irma - The Washington Post,"s, saying, n't, states, county",1.456802323,
1,8328bf41940ad4e5cd7f9aa4b8eab3e10cffa59a,How to improve critical hurricane-related supply chains,"health, s, study, hospital, patients",1.309695011,Irrelevant
2,a30665107430318c9006489c88a642c3f3953008,Brazil Prison Riot Leaves 9 Dead - The New York Times,"inmates, riot, prison, corrections, lee",1.487232191,Irrelevant
3,f769ae26425b7894e9a1399a2d74d542a9c186da,'Renoir sucks at painting' movement demands removal of artist's works | Art and design | The Guardian,"s, saying, n't, states, county",1.625052413,
4,97c68dc7005c32f47461207974fe71425c910b3c,What Happened In The Litchfield Riot? 'Orange Is The New Black' Season 6 Hinges On Some Of The Finer Details,"inmates, riot, prison, corrections, lee",1.357629495,Irrelevant
5,20e43ebb9ec26812314760c2a52d912e3bc4a586,Oregon wildfire: Police suspect Eagle Creek started by teens with fireworks - The Washington Post,"s, city, t, people, time",1.070307379,
6,e5d29be1a1fd1c382ac9846cf23abd9b9aee7872,Wildfire in San Martin burns multiple structures,"s, saying, n't, states, county",0.287950421,
7,adbcfc35d6d2021dd368c23d64af9d4e0c3c70f4,When a wildfire threatens your summer vacation - SFGate,"s, saying, n't, states, county",1.21180094,
8,17b8cf996679ff8d49432f8b825f6cab748fc264,Keeping wildfire smoke out of large indoor spaces | Columnists | missoulian.com,"health, s, study, hospital, patients",1.802546394,Irrelevant
9,961c13520cc01fa27fef758fe95ad1ef5227b9b5,Firenado: California fire vortex phenomenon seen amid chaos of Carr Fire near Redding California - CBS News,"s, saying, n't, states, county",1.516584892,
10,e71d3348dce629897dc5dee17aadc0b21b1f0a27,Exploding targets ignite wildfire debate | East Idaho News,"s, saying, n't, states, county",1.587344287,
11,b3ca5c9c5e07487f78a6c64999cabdb1d5e65dea,Writing workshop helps wildfire victims heal from 'surreal days',"s, saying, n't, states, county",0.914547383,
12,a93d63cb862c74cc4c30ed8bb50265175369d1a5,After a destructive wildfire flash floods and debris flows; the long cleanup from the Dollar Ridge Fire begins | fox13now.com,"s, city, t, people, time",1.464142232,
13,55c021c211c0136408227d03393c637179a0567a,Why you may hear tornado sirens Tuesday - KMOV.com,"gmt, edt, july, monday, pm",1.231351421,Irrelevant
